alpha,delta,factor,time,minus_delta,total_record
0.7,0.05,0.5,400000,9218.45931,12120.09133
0.7,0.05,0.5,400000,9305.476232,12234.98316
0.7,0.05,0.5,400000,9082.05452,11946.9724
0.7,0.05,0.5,600000,12833.93155,16988.29691
0.7,0.05,0.5,600000,12897.43005,17051.32558
0.7,0.05,0.5,600000,12986.35354,17188.9755
0.7,0.05,0.5,600000,12848.53884,17027.65542
0.7,0.05,0.5,600000,13008.40083,17203.29516
0.7,0.05,0.5,800000,16285.79169,21628.42063
0.7,0.05,0.5,800000,16434.44846,21808.22168
0.7,0.05,0.5,800000,16270.53268,21584.02726
0.7,0.05,0.5,800000,16410.90276,21745.78361
0.7,0.05,0.5,800000,16341.0137,21721.66888
0.7,0.05,0.75,100000,879.1912793,1368.723835
0.7,0.05,0.75,100000,842.9983488,1330.654629
0.7,0.05,0.75,100000,866.5847472,1381.290783
0.7,0.05,0.75,100000,874.5451574,1400.225745
0.7,0.05,0.75,100000,870.2622383,1363.161212
0.7,0.05,0.75,200000,1334.47831,2212.150491
0.7,0.05,0.75,200000,1311.479825,2184.378436
0.7,0.05,0.75,200000,1317.859537,2176.016008
0.7,0.05,0.75,200000,1409.90919,2303.383263
0.7,0.05,0.75,200000,1248.158959,2116.279591
0.7,0.05,0.75,400000,1911.866234,3342.03598
0.7,0.05,0.75,400000,1982.225398,3449.591492
0.7,0.05,0.75,400000,1953.133742,3350.810721
0.7,0.05,0.75,400000,1955.385425,3429.219161
0.7,0.05,0.75,400000,2038.284748,3515.653004
0.7,0.05,0.75,600000,2508.18046,4503.141728
0.7,0.05,0.75,600000,2554.020323,4603.768423
0.7,0.05,0.75,600000,2515.302821,4536.253255
0.7,0.05,0.75,600000,2522.596704,4520.364957
0.7,0.05,0.75,600000,2462.741962,4428.852914
0.7,0.05,0.75,800000,2924.246383,5358.043278
0.7,0.05,0.75,800000,2939.097793,5436.115269
0.7,0.05,0.75,800000,2956.237549,5464.738832
0.7,0.05,0.75,800000,2878.982398,5238.954437
0.7,0.05,0.75,800000,2987.548798,5453.115623
0.7,0.05,0.675,100000,1308.446141,1833.296888
0.7,0.05,0.675,100000,1332.07098,1878.178708
0.7,0.05,0.675,100000,1298.178732,1832.605398
0.7,0.05,0.675,100000,1332.028881,1888.035513
0.7,0.05,0.675,100000,1328.389277,1872.316831
0.7,0.05,0.675,200000,2167.440284,3082.008579
0.7,0.05,0.675,200000,2143.889026,3058.659894
0.7,0.05,0.675,200000,2172.43972,3079.89684
0.7,0.05,0.675,200000,2227.400976,3180.225319
0.7,0.05,0.675,200000,2190.043451,3127.337387
0.7,0.05,0.675,400000,3508.961909,5087.690295
0.7,0.05,0.675,400000,3491.132446,5063.731951
0.7,0.05,0.675,400000,3607.721239,5275.794269
0.7,0.05,0.675,400000,3586.689716,5225.580357
0.7,0.05,0.675,400000,3452.450997,5020.917981
0.7,0.05,0.675,600000,4639.26254,6832.706047
0.7,0.05,0.675,600000,4649.57608,6858.221698
0.7,0.05,0.675,600000,4754.731763,6972.205412
0.7,0.05,0.675,600000,4587.373552,6722.034911
0.7,0.05,0.675,600000,4622.897647,6800.802758
0.7,0.05,0.675,800000,5835.227312,8638.194246
0.7,0.05,0.675,800000,5653.608394,8329.684147
0.7,0.05,0.675,800000,5826.546299,8593.134675
0.7,0.05,0.675,800000,5625.095792,8356.206815
0.7,0.05,0.675,800000,5845.084982,8605.991667
0.8,0.1,0.5,100000,1662.9046,2927.2122
0.8,0.1,0.5,100000,1616.9582,2849.6666
0.8,0.1,0.5,100000,1671.0736,2909.3064
0.8,0.1,0.5,100000,1696.3822,2983.8662
0.8,0.1,0.5,100000,1666.4636,2923.4242
0.8,0.1,0.5,200000,2883.381257,5160.557955
0.8,0.1,0.5,200000,2850.468917,5098.147471
0.8,0.1,0.5,200000,2895.797727,5143.431983
0.8,0.1,0.5,200000,2851.371366,5129.924651
0.8,0.1,0.5,200000,2911.291781,5184.94669
0.8,0.1,0.5,400000,4896.250211,8934.765101
0.8,0.1,0.5,400000,4867.348141,8851.252362
0.8,0.1,0.5,400000,4874.038786,8882.434348
0.8,0.1,0.5,400000,4848.971493,8827.316788
0.8,0.1,0.5,400000,4885.771902,8820.287386
0.8,0.1,0.5,600000,6604.916837,12329.84992
0.8,0.1,0.5,600000,6591.344917,12223.62571
0.8,0.1,0.5,600000,6616.126848,12254.39603
0.8,0.1,0.5,600000,6586.004045,12235.37114
0.8,0.1,0.5,600000,6583.435328,12319.93244
0.8,0.1,0.5,800000,8191.99051,15334.23474
0.8,0.1,0.5,800000,8134.649617,15178.43752
0.8,0.1,0.5,800000,8194.003754,15170.26585
0.8,0.1,0.5,800000,8149.960729,15193.37914
0.8,0.1,0.5,800000,8198.810928,15229.44676
0.8,0.1,0.75,100000,249.352,764.4222
0.8,0.1,0.75,100000,265.0928,771.5784
0.8,0.1,0.75,100000,261.2174,867.422
0.8,0.1,0.75,100000,300.6394,820.0246
0.8,0.1,0.75,100000,270.0972,812.0858
0.8,0.1,0.75,200000,355.8781327,1221.647266
0.8,0.1,0.75,200000,377.6242384,1248.562014
0.8,0.1,0.75,200000,366.6962292,1227.77618
0.8,0.1,0.75,200000,386.7186235,1294.783302
0.8,0.1,0.75,200000,360.3776932,1225.189051
0.8,0.1,0.75,400000,529.2305898,1816.576725
0.8,0.1,0.75,400000,510.294693,1917.961762
0.8,0.1,0.75,400000,522.6989341,1693.521893
0.8,0.1,0.75,400000,518.3744611,1839.48825
0.8,0.1,0.75,400000,474.4186333,1724.714729
0.8,0.1,0.75,600000,626.1726037,2486.176262
0.8,0.1,0.75,600000,636.4842366,2462.949848
0.8,0.1,0.75,600000,629.8775961,2293.015299
0.8,0.1,0.75,600000,642.2948477,2448.554178
0.8,0.1,0.75,600000,611.386944,2310.828879
0.8,0.1,0.75,800000,744.3322658,2725.824854
0.8,0.1,0.75,800000,718.6165708,2805.024526
0.8,0.1,0.75,800000,744.8059898,2897.306024
0.8,0.1,0.75,800000,749.1311624,2833.213522
0.8,0.1,0.75,800000,716.6646452,2710.523826
0.8,0.1,0.675,100000,567.8348,1153.0504
0.8,0.1,0.675,100000,549.4364,1179.2042
0.8,0.1,0.675,100000,597.9758,1213.399
0.8,0.1,0.675,100000,574.2988,1197.703
0.8,0.1,0.675,100000,581.366,1206.4522
0.8,0.1,0.675,200000,891.3834007,1882.803395
0.8,0.1,0.675,200000,921.517978,1932.87011
0.8,0.1,0.675,200000,926.9147025,2012.784877
0.8,0.1,0.675,200000,912.8458996,1930.317694
0.8,0.1,0.675,200000,904.8842704,1866.730208
0.8,0.1,0.675,400000,1422.826877,3000.974105
0.8,0.1,0.675,400000,1410.760239,3136.55126
0.8,0.1,0.675,400000,1386.650065,3077.976735
0.8,0.1,0.675,400000,1416.291291,3031.956343
0.8,0.1,0.675,400000,1391.006973,3049.022992
0.8,0.1,0.675,600000,1799.97762,4027.794634
0.8,0.1,0.675,600000,1802.827664,4013.654432
0.8,0.1,0.675,600000,1751.675837,3861.819435
0.8,0.1,0.675,600000,1763.022862,4045.462945
0.8,0.1,0.675,600000,1772.454007,4011.389752
0.8,0.1,0.675,800000,2093.468084,4735.04003
0.8,0.1,0.675,800000,2132.595991,4747.812231
0.8,0.1,0.675,800000,2114.688873,4804.273954
0.8,0.1,0.675,800000,2164.370647,4977.665516
